path	duration	loudness	crest	brightness	rolloff	flatness	noisiness	attack	low	high	pulse	density
Even More Da Heat/swell 5.wav	0.66869	0.67371	0.47840	0.62648	0.70732	0.05363	0.08384	0.99014	0.21451	0.08547	0.91989	0.00000
Even More Da Heat/swell 6.wav	0.65026	0.55841	0.48605	0.63369	0.70611	0.07919	0.08028	0.27197	0.24548	0.09515	0.87351	0.02088
Even More Da Heat/swell 7.wav	0.63621	0.75652	0.48671	0.62773	0.70971	0.05014	0.08602	1.00000	0.21476	0.08376	0.86869	0.00000
Even More Da Heat/t'cum.wav	0.35771	0.56784	0.48146	0.61776	0.72330	0.01451	0.09139	0.78148	0.23440	0.12150	0.33165	0.30902
Even More Da Heat/technology.wav	0.48283	0.64649	0.49336	0.59548	0.70119	0.01251	0.07781	0.70360	0.16501	0.12114	0.29036	0.09761
Even More Da Heat/the fundamenmtal.wav	0.66592	0.62297	0.52898	0.62151	0.76240	0.01495	0.09426	1.00000	0.20809	0.16950	0.30880	0.27083
Even More Da Heat/thing l.wav	0.33527	0.70293	0.39514	0.57678	0.61250	0.01059	0.12025	0.41017	0.09839	0.02388	0.26786	0.00000
Even More Da Heat/thing rt.wav	0.33505	0.72720	0.34630	0.57719	0.60571	0.01099	0.09954	0.45019	0.06950	0.02800	0.19199	0.38073
Even More Da Heat/vox 1.wav	0.56790	0.65415	0.46621	0.67793	0.73480	0.06272	0.21779	1.00000	0.11307	0.10272	0.67316	0.00000
Even More Da Heat/vox warble 32000.wav	0.65044	0.68613	0.40671	0.70808	0.78941	0.03408	0.17151	1.00000	0.07618	0.24031	0.56572	0.08339
Even More Da Heat/vox warble.wav	0.65045	0.68677	0.40669	0.72024	0.79902	0.10258	0.17656	1.00000	0.07412	0.25784	0.56234	0.08338
From Digitakt/Dub'dUp Afternoon.wav	0.72578	0.75027	0.49876	0.74752	0.85488	0.22340	0.04241	0.29769	0.40511	0.25969	0.20983	0.04167
From Digitakt/Dub'dUpAfternoonT4.000.wav	0.87632	0.70518	0.58963	0.73352	0.82697	0.20559	0.05936	0.44416	0.48529	0.23999	0.38051	0.29167
From Digitakt/all_over_snares.wav	0.72577	0.59492	0.81016	0.80775	0.89334	0.31857	0.16711	1.00000	0.14054	0.43324	0.47352	0.70833
From Digitakt/atmos.wav	0.88743	0.65842	0.43607	0.77630	0.93196	0.12390	0.09290	1.00000	0.56317	0.27919	0.74188	0.10417
From Digitakt/bassy loop.wav	0.68660	0.84267	0.31467	0.62015	0.54738	0.10011	0.01485	1.00000	0.77745	0.10940	0.39528	0.25000
From Digitakt/busy_hiss.wav	0.72576	0.77361	0.45278	0.90647	0.97973	0.42552	0.30944	0.87682	0.21491	0.62226	0.53870	0.25000
From Digitakt/degraded 1st power.wav	0.65051	0.81638	0.36724	0.90462	0.96696	0.73099	0.42884	0.44151	0.08498	0.75585	0.61479	0.37501
From Digitakt/dub'd, delay'd power'd spread.wav	0.80105	0.79339	0.41321	0.81656	0.91559	0.41547	0.17574	1.00000	0.21375	0.43634	0.61471	0.22917
From Digitakt/hifilterT51.200.wav	1.00000	0.57334	0.64550	0.98360	1.00000	0.40520	1.00000	1.00000	0.05160	0.88897	0.73937	0.00000
From Digitakt/kicking_loop.wav	0.65054	0.79941	0.39109	0.62707	0.72758	0.11105	0.35295	1.00000	0.61437	0.13076	0.67452	0.16667
From Digitakt/minimal_hat&snamre.wav	0.72577	0.62174	0.75652	0.82729	0.92324	0.40644	0.08708	0.87685	0.19031	0.46716	0.52425	0.22917
From Digitakt/minimal_hiss.wav	0.72578	0.61790	0.76420	0.91258	0.97700	0.46686	0.59157	1.00000	0.12092	0.66090	0.58861	0.18750
From Digitakt/more_busy_beat.wav	0.72577	0.77498	0.45004	0.80165	0.92354	0.34517	0.06827	0.91134	0.36430	0.37759	0.62376	0.31250
From Digitakt/power'd afternoon.wav	0.72577	0.72287	0.55427	0.85648	0.93751	0.48518	0.13354	0.72821	0.21976	0.58201	0.32634	0.06250
